mean pos	mean neg	Comment (All)
2	2	hey witch wat cha been up too
2	3	i was thinking... everyone is allways saying that they want racism to end and that all racist should burn in hell or something along that nature yet has anyone stopped to think that maybe people who are racist also want racism to end, they're just acting on there idea's instead of sitting on their a**'s all day. just a thought. i thought it was kind of ironic once i stopped to think about it.its realy kind of funny when you stop to think about it yourself
3	1	omg my son has the same b-day as you lol
2	2	hey whats up i havent talked to you in like forever
3	1	hey kevin hope u are good and well miss ya dude
3	2	sup greg....how u been?... how..s the family?.....say hi to everyone for m, pleeez....o yea and can u tell my dee dee dee brother to add me to his friends or to at least pimp his profile up....and tell not to use excuses....thanx ----- ----- ----- lates ese
1	1	my churchland homey waht it do
4	1	Hey Sis,, Great job on your profile,,Bet you cant wait to be a GGILTF,,,(laughing) Annie told me to say that.
3	1	yeah, we should totally enter the nag's like that, then we should dance like this!
1	3	so every body knows this page is screwedd up and we cant get on to it so if you are trying to save wait until she gets another page.
3	1	HEY U HAVE TWO FRIENDS!!
5	1	HEY SEXY MAN I WAS JUST MISSING YOU AND WANTED TO SAT HI! CAN'T WAIT TILL FRIDAY TO GET YOU DRUNK AND TAKE ADVANTAGE!!!
4	1	Hey mom, How are you? We are great. I just thought that I would stop in and say HI... ----- Love ya ----- Gena
1	4	Ya a regret giving my old z up. I just couldnt aford four quads. Of course that oic was taken before the race series. Ater the series it looked like shit!!
3	2	wazz up prima ----- Damn its been a good while that i dont see u ----- well i just want 2 let you know IM STILL HERE ----- and that i miss you and i hope 2 see you soon ----- ----- ? & RESPECT L.A.: DR3AM3ER
4	3	i do indeed hehe!! dnt c her as much as i used to tho cos shes with her new boyfriend aw th time :( a miss her!! lol u stil goin bout wi neil n th missus?? luv yooooooooo xoxoxoxoxox
3	2	ERIC........ ----- Where have you been? I have needed some cousin time!! Call me sometime soon. Not today..I know that it's Ohio State and Michigan today so maybe tomorrow.
5	1	Congratulations!!! I am so happy for you and you are going to be an amazing dad!! Can you believe it, Daddy... Wow.. Please tell her mom congratulations too. ----- She is beautiful, ----- Amy
3	1	Hey gurlie, Just wanted 2 stop by and say HI how have u been? ----- Lisa (d's girl)
1	3	wut the hell you doin online at 3 am? O yea man isnt your bday today? Or was it a few days ago? or like a week ago. fuck it, what am I talkin about, im lost.
