mean pos	mean neg	YouTube Text
1	3	when the time comes for all to know it will be to late
1	2	@princessofportk The first are a pair of devil horns, and the second look like a pair of cat or feline like ears
1	2	I gotta feeling they partlishly took it off fomr MIB anime ep form the american unless they took that one off from it, but the story is really different.
3	2	As we look at ways to be relevant, here is a good video perspective to consider (in order to avoid :) )
1	2	Not a lot of "removing" going on here... bucket teeth removal maybe.
2	2	I love looking at old gravestones
1	2	@qingian they represent HK. but considering how their last names are spelled, i think they are from China. they don't get to represent China because they're not as good as Ma Long, Zhang Jike and Xu XIn.
2	2	@Invaderkibachan2 xD Okay! Um, I finished, but the whole thing is only about nine seconds, so I feel like it'd be a waste to upload something so short as a video. Would it be possible for me to e-mail the file to you? Or upload it somewhere, and messa
2	2	so THATS why they always tell you to wear a helmet; i always thought the concept of damaging the head via falling off a bike was very unlikely
2	2	Haha at 4:00 Alex looks so frustrated at whoever is opening the door.
4	3	Awwwwwww Matty Looks Adorablee<3 Cuteiee Vid Eulia NO MORE OF ME AND MATT PLEASE.! (;
2	2	I got an ocarina just to play this song. And now, i must learn it on flute.
4	1	Pastor Morgan brought a powerful encouraging word to us in that service. I really enjoyed her. To GOD be the Glory!!!
1	3	if that was supposed to rhyme, it didn't
5	1	Absolutely awesome!! Impressive.
2	2	hahaha ''stinker''
2	2	kya baat hai! too sick!!
2	2	I was waiting for tomorrow but i called today and they already have it since a few days. I am from Argentina (South America) i really dont know how it works i think they dont respect release dates. Next time i go i will make sure to ask and send you guys a voice mail.
2	2	st. johns goes HARD! illmac! also check out this artist named Vinnie Dewayne.
1	2	Yeah, because a minute and a half definitely equals 30 sec.
2	2	great guy but this wasnt a special video lets be honest
2	3	Yea..the Senior CIA analyst during Saddam's Era is definitely not a credible source. He's the last person who should be commenting on Iraq. Anyways... I'm done with this argument. Good Day sir.
1	1	Do anyone know if thats Jim Ryan in the background?
3	2	yes i agree i had an 07 ego then switched to angel a1 and a kid at my local field had one and it shot smoother than my a1 wich i belive was about 40% smoother than my ego now aday's all guns $ 300 and over will do 20bps out of the box its just how you like the feel of it thats why i went angel beacuse i love the way they feel,
4	1	loved the video joey it was awesome :O
1	1	@ChibiChanColors actually she reminds me of yuki from the melancholy of haruhi suzumiya.
4	2	this is such a high quality game i cannot believe it. it is a lot greater than mw1. ive only just attained the 2nd prestige ! i'm so delighted. got the game only yesterday evening from mw2forfreeYinfo (replace Y with . ) but im undoubtedly annihilating most people!
3	1	epic song fo sho
3	3	Poor Maddie!! :( Awesome chapter
1	1	it sounds a bit like starn
3	1	Awesome song Danger Danger rocks
3	1	This is my favorite song. He told me it's about his guitar.
4	1	reminds me of some of the old timers up here in the hills! awesome!
3	2	Hahahhahaha I did that same thing with my smog eyesalhadow! I put myself on a project "hit pan" like for a month I had to use only certian eyeshadows like ud's smog. I used it literally everyday in september and I got so obsessed like when am I going to hit pan it's been forever!! :P so anyways I totally feel ya and basically were both crazy. :)
5	1	i just love him.... a looooooooot..... he's the ideal one...
4	1	YOU ARE MOST WELCOME.... and if you have any questions, I am here to help.
4	1	infinite possibilities, thanks for postingone love :)
5	2	i love this!!!! way better then the original :D
3	4	were the fuck are the lyrics u suck man...but the song is great..SOAD forever
2	1	it's "phenomenon" by thousand foot krutch
2	3	Jeez I was starting to think you wouldn't post up my tage >.> lol thanks But I'm not in the description :O
3	1	Ian gillan is the best........
1	2	looks like we're not guna see kenpachi 4 a couple more episodes
2	2	Everytime i bun 1, its this tune dat gets repeated! Peepz listen 2 what both are saying...
4	1	CHocoolate! :D
2	3	oh my god . i was there & i just about died when he did that .
2	1	i eman 1st best 1 the 3rd 1, 2nd best is the 1st 1, 3rd best is the last 1.
3	3	@quartermasternick 
3	2	jimmy carr mkes me happy, ill go and watch that now... u failed
2	2	i was able to get airpwn working. you really need three wirless card to be efficitve
2	1	lol
4	1	omg how old is the youngest one?shes really good at guitar :Dgreat job :D
2	2	@thetruthis9 then he fired jimmy johnson!
4	1	fantastic quality thanks so much
2	2	Beautiful BBw women for dating naneedj.info
2	2	not specifically for gentiles Quran's message is for all human being, we should avoid using this jewish term gentile. Wasalam
2	2	A little gain,.
4	1	This is really cool, I hope you publish the book, I'd love to read it. If you don't mind, could you tell me what the name of the very first song is. Please and thank-you.5 stars btw
1	5	Listen, fuck off. Just because you have something that is "yorkshire" does not mean you have to put t' in front of random fucking words in your desription. Yes we do it but not as fucking much as that. Do you do the subtitles for coronation street? Because apparently lancastrians do it all the time aswell
1	3	@bullawaya I never said anything about a one time experience or calvin or spurgeon.
1	4	sucked so bad
4	1	hella dope!
2	2	Yes be an American Scholar.. lol!!!
4	2	Even in 8 bit this music rocks.
2	2	It's not that hard.
2	3	That would be the same scientists who falssified and withheld evidence that contradicted their global warming theory, yes? 
1	4	watever kid u dont know wat the fuk ur talking about ur stupid y would u say that if ur username is Osiris 
2	2	@Albeider Well, this was made a while back, so rules might have been different.
3	1	NOW THAT'S AN OPENING TO A VIDEO.
3	1	MY FAVORITE MYRTHA DOES IT AGAIN.
3	1	superba ....
3	3	i miss my 09 xb :(((((((
4	1	Love this scene. F&F are the best couple.
1	1	............
3	1	Instant Classic. Boon where are you playing all your synths from?
4	2	Tears in my eyes! I wish they would've talked at least a little about Secretariat's relationship with Eddie Sweat- his indespensible groom! I seriously cannot wait for the movie to come out this fall!!
2	4	REPITITION: CHANGE CHANGE CHANGE CHANGE "YES WE CAN" YES WE CAN YES WE CAN LMBO. They're all the same and yes THAT IS TRUE but I have to say the end is near I've never seen as many people mind controlled as with who the NWO just put in power SMART MOVE ON THEIR PART STUPID PEOPLE TO THINK HE IS DIFF. THEN BUSH THEY WORK FOR THE SAME PPL.
1	3	you would get raped by cross fire.
1	4	lmfao 9PRELUDE.
2	2	1:41 I KNOW THAT GUY WHO'S POINTING! O-e
2	2	you ave been to bradford and to westbury so when are u gonna do trowbridge lol
2	1	if you wanna help go to thedenanproject.
1	2	I cant believe anyone would thumbs up Hernje on anything.
3	1	I know right!!Workout music!!! I <3 Kandi!!
3	1	so do you think black holes definately don't exist or do you think they may or may not exist?
3	1	If you like this, check out Quantic.
2	2	haha no bigge and hmm im on a mac so just try to expian it the best you can k
1	1	1st to veiw
3	1	PEACE !
3	1	Thanks. :)
4	1	love the tennis match ,, great video ty
3	1	This is a song that was a signature song for Average White Band that hit the souls of my youths growing up in the city during the 70's. I know, because that's what it did for me and my friends.
4	1	haha they're hilarious together! thank you for subbing =)
2	2	Hey I just got the same heli! Can you help me? I broke a part on it and need to find a place where to buy spare parts but can't find any online :(
2	1	nice vid
5	1	he's so sweet! i <3 himmmm!
4	1	You looked very nice.
4	1	One of my favorite's by Joanna. She's simply an amazing Musician.
5	1	She's so beautiful!
2	2	Dude, Its a video, but Im kinda thinking that is a poplar, not a red oak...
2	2	What the hell is that thumb print on the screen thing? Must get one of these, lol! ZX has never been bettered or more up to date than this piece of globalist piece of scanning equipment. Stick to the speccy and dump these mobile phones.
2	2	The joys of alcohol!
2	2	Yeah, I especially got that vibe with the interconnected Dwarven origins.But Jowan is an idiot, *especially* after you get to know him in the Mage origin.NOOO, we spawned from the base.... BWAHAHAHAHA!
4	1	simply incredible.
1	4	@BritishWarLord >.> ur a fag
2	2	why is the next one your last one
4	1	compliment: you have beautiful eyes!! and pretty long lashes too! :)
4	1	Nice job! :)
3	2	ITS CALLED TECHNO! The words make this song important, "The whole wide world is a very narrow bridge, but the important thing is not to worry."
1	1	The guy in the crowd at 1:07 reminds me of David Archuleta...?
1	5	fucking cunts.
4	1	Will is so talented! He is also my cousin lol
2	4	Only when we remember our "inalienable rights" were granted to us by God and not man will we be immune from the brainwashing this documentary uncovered. Those "crazy" psychiatrists proved that the inmates are often running the asylum. The Bible could not be more accurate in describing the human heart as "wicked & deceitful". We are selfish, play "mind games" and try to dominate each other in our families & also internationally. Our only hope resides in our humility and love of God.
2	4	Tommo is a cockflap. There's shit-all chance of 6 Music being cancelled.
1	2	NPNS - No Plug, No Sale!
3	3	I watched this show as a kid.I had a huge crush on Dana Plato.....too bad she got hooked on drugs and died. :(
1	4	It's all that damn clown's fault,!!!!TWO FUCKING DOLLARS MAN!!!!
1	1	kwl
2	2	@robokill387 That's not what he's trying to get across. Wolves don't make their teeth. He's saying if we were in the wild, With just ourselves, Just like the animal kingdom is, We would be extremely low on the food chain.
2	2	@ianxofour yeh and it was easy, like always :D
4	1	a+++ jolly good show
3	1	@itsDezz101 so do i. :o
3	1	@0rima1 Thanks for commenting and watching!
4	1	this video is really cool
2	2	@cmayberry86 Jesus also said not to judge
2	2	@abel2fresh4u actually your wrong the tmobile g2 for the us has stock android no sense
