mean pos	mean neg	Comment (All)
1	3	"Where were the suicide pilots from? Where is Bin Laden from? Where is the Wahhabist philosophy that inspires these people from?"  Where are almost all terrorists from?  The Middle East, right?  And where are the Coalition troops?  The Middle East, right?  It's time you started thinking of the entire area rather then specific countries. The whole place is riddled with nutcases, and with just a little more time and prodding you might have eventually arrived at that conclusion on your own.
1	3	Smoker - Mainland Britain consists of England,Scotland and Wales so it is possible.Why didn't Bush and Blair sort out how to achieve democracy BEFORE invading Iraq?It could have saved up to 650,000 lives.
1	2	Hmmm.....the guy who took it with his government is now the number one terrorist. Everyone who take these question with the government, hands up on american terror list, just as any anyone who shakes hands with rumsfeld in middle east, becomes a terrorist, a few years later.&gt;&gt;&gt;&gt;  So are you saying they're 'regular' Muslims?
2	3	     Yes, let's NOT forget that there are 2 people on the flight deck on this aircraft and the co-pilot would also have had his hands full doing his part. I get so annoyed when they only ever refer to the 'Hero Pilot'.  It is remarkable that there were no casualties and for this we must all be very thankful.  On a different tack, I can just see the lawyers rubbing their hands in glee for the broken finger nail damages etc. Watch this space for the law suits.........guaranteed   
1	4	He's a religious fanatic which is worse than your average cretin.
1	1	     who`s got it then...?
1	1	     Where did they live? Where I live there's quite a few people with St Georges flag outside the house. 
1	2	I'll cancel those binoculars I ordered.
2	2	     Well yes I do. There were many who lived under Nazi occupation who strongly supported Joe Stalin. In Occupied Holland for example it was the communists who organised the hiding and escape of Jews.  In Britain in 1941 "Uncle Joe" would have come third in a popularity contest behind Churchill and King George VI and ahead of Roosevelt, who said nice things but hadn't actually provided any troops yet. And of course there were millions of decent men and women in the 1920s and 30s who looked to communism as a better way than the economic system they had to live under. So a blanket kneejerk condemnation is simplistic.     Nice try Grant, but that was not the question asked. So -  "You will readily denounce Pinochet, Somoza the Shah of Iran - to name but three? And those who supported them?"  As to democracy, we can discuss what democracy means after you've cleared up this little matter.
1	2	cheddi  On what grounds should Israel give up its jewish status just to make the arabs happy.  Do you think that if jews said we want to all live in Saudi Arabia so we want it to change its stauts as a muslim state and become a democratic one for all after all the jews are living in the same part of the world are they not  Just because your naighbor wants something and is using violence to try and get it you should change your national identity to keep the enemy happy either the enemy is willing to accept reality using diplomacy or they want to use violence so you use violence back and crush them but you dont just say I give up I am going to give up my identity so you can be happy.  The arabs can give up terror, accept the only option avalible is 2 states BASED ( not exactly )  on the 1949 ceacefire borders but if they use terror they dont get 2 states and they dont get Israel to agree to give up its status as a jewish state.  No organistion like the UN or country US included can make Israel change its stauts its never going to be anything but an arab fantasy   
1	3	    ====================================  ** Do you think one of those radioactive Martian rocks might strike you in your garden as you frolic with your poochies? Now, that would be a terrible loss for the world, and what on earth would your poochies do?   Have you made a will to establish for their care after your passing Bertie?
1	1	Tao, could you explain your comment about my "special links" please? 
2	3	Just seen on tv the results of the latest drone missile strike on "tribesmen". It included some stretcher cases being taken into a hospital.   Its very interesting to look at the footwear of those on the stretchers. Combat boots? 
1	3	Arafat launched the intifada?  All this youngster´s on the streets, brainwashed and "launched" by Arafat? Isn´t it possible that many palestinians´s did not get their share of "peace and security" and therefore decided to protest against that without permission from Arafat?  
