mean pos	mean neg	Comment (All)
 4	 1	He has a beautiful family photo! : )
 2	 2	Well, got to respect the guy for owning up to it. Too bad he called it bad judgment. He had a chance to become a poor but prominent spokesman for decriminalizing pot. <br><br>We can't afford the on drugs like we're going. Save prison for violent offenders, not pot smokers. 
 1	 3	watch out guys, japanese girls get pissed off and become extremely violent when getting ketchup on her clothes. 
 1	 3	fæces
 2	 2	While this does look good, I wouldn't write out Waltz with Bashir or Fears of the Dark just yet
 2	 3	Of course. Because rendition and secret torture prisons are so American and such a change from Bush. More 'Change' you won't believe!
 1	 2	Public Figure = Public Domain. <br><br>Continue to do whatever the hell you want with his image. Those 'er the breaks when you become a public figure. 
 2	 3	Better than the 'Let's drive Hummers and fuck up the world' bandwagon.
 2	 3	first, i don't own an iphone, but....<br><br>i always download a cracked copy of any software i might use prior to buying it. too many times i've found badly written programs that were bug ridden, failed to live up to their hype, or simply outright junk. when i do find an app i like, i pay for it - that way i can take up any problems with the developer, feel confident talking on a ng (yeah, i love the people who complain their software isn't working properly only to discover the crack hasn't activated some part of it!)<br><br>so sure, try the cracked version - but if you like it, pay for it!
 2	 1	Article author: Lucy Cockcroft.<br><br>(stifled, juvenile laughter)
 1	 3	Leona Helmsley went to jail for tax evasion. Others get Cabinet positions. Hah!!
 1	 4	It only stimulates the economy if you make tax cuts and increase spending at the same time, which is what you're talking about.<br><br>The only problem is that it stimulates the economy at the expense of the future. You can't cut taxes and increase spending indefinitely. Despite what Cheney claimed about increased GDP making up for the shortfall... that's a ponzi scheme and he's a moron.<br>
 3	 2	Heroes one was ok, absolutely ridiculous, but ok. 
 1	 3	The commercials were worse than the actual show.
 1	 3	You lay, you pay.
 1	 1	Sixburgh!
 1	 4	This is a sad, sad story. If we ever hope to have a futuristic society with flying cars and no war or sickness we have to make some very drastic changes, and ending this bullshit is one of them. Not that we will any time soon...
 1	 1	whos Kevin...<br> - oh wait
 2	 2	yeah! down with big corporations. lets let more ma and pop businesses into the scene
 1	 2	Psst... you're trying too hard.
 1	 4	Hi Mowe,<br><br>I do have a few questions. I understand that in Islam, you must believe in all that is taught by the prophet and cannot disagree lest you are no longer a Muslim. Is that correct?<br><br>1 - If so, how do you feel about the duty of the husband to discipline his wife via physical beatings?<br><br>2 - How do you feel about the doctrine that explains it is ok for a man to have several wives and for the marriage of little girls of 9 and 10 years to middle aged men? (a few weeks back a Judge refused to annul a marriage in Saudi Arabia when the mother pleaded for her 10 year old girl who was married off to the fathers' 47 year old friend as repayment for a debt)<br><br>3 - How do you feel about the fact that your testimony is worth half that of a man's?<br><br>4 - How do you feel about Muhammad's doctrine that allows for temporary marriages in order to allow his soldiers to have sex with women and then leave them with no rights after the temporary marriage is over (mind you this still goes on in certain Muslim countries).<br><br>These are just a few examples of what I view as unreasonable demands of Islam.<br><br>I can't answer your question as to why people convert to Islam - people convert to Scientology as well even though so many consider it a dangerous cult.<br><br>I have however heard too many stories of those who left Islam, especially women and their stories of abuse and subjugation are horrific.<br><br>
 1	 3	Considering the DHS has send undercover agents into the likes of Code Pink, this really doesn't need to have a reasonable explanation. This is par for the course.
 1	 1	That's why he keeps rewarding them with Super Bowl wins.
 1	 1	I have this feeling that I just saw a glimpse of the future right then.
