Mean pos	Mean neg	Runners World forum text
1	2	OK, OK - I get the idea. Looking at the source for the page is easiest. Does anyone else find watching paint dry (or discussions about html, come to that) more interesting than motor sports?
3	2	HillyI take your earlier point butI would like to support any new runners that take up the FLM challenge. In June 2001 I had a kidney removed following 4 years of serious illness. I had never ran races before but 8 months later I completed the 2002 FLM in 5 hours, not fast I know, but I did not find it that hard-Really!! and I enjoyed every minute and raised 2000 pounds for charity. I have a golden bond again to do it this year. Providing you put in sensible training, and respect the distance,I really believe anyone can do it, good luck to everyone
1	3	My body seems to be telling me to take it easy this week too. Not sure why, this hasn't happened before but this week I've been spectactularly exhasted for no apparent reason. . I have been out 4 times already but normally can cope with that. Wanting to up my training a bit and was planning to go out this afternoon. Don't know what to do now! I'm not injured, just sleepy! Should I go?!
2	2	did NOT. Im a speed reader(unlike my running). Marvellous Quote tho, wonder if the ward will have any spare daily mails. I could make a scrapbook of the trials and tribulations
3	3	I ran Reading Half yesterday and was really pleased with my time and thought generally it was well organised, however what did disappoint me (aside from teh 45 min delay) was the number of slower runners that started at the front despite there being markers to indicate times. I have to admit that I was in the box ahead of where I should have been but one comment I heard was 'Ooh it says sub - 1:20, perhaps we should move back'. The reply was 'no it will take us ages to cross the line'. I finished in 1.29 officially but it still took me 1 1/2 minutes to cross the line so my actual time was 1:27, and for the entire race I continually overtook people. I was glad I didnt start further back with the sub 1.30 where I should have been. But if it had been managed properly, then you wouldnt get people trying to start in a higher ability group and slow down those behind them who are in the correct group.
3	2	Hi Taz,. I hope the new physio instills more confidence in you. It can be an expensive trial trying to find one you feel happy with, and who is effective and I am eternally grateful to my colleague who recommended her. I can't believe how different I feel about it all now, as to last week. I haven't run yet - next run is tomorrow, but shall carry on spending as much time as I can with my legs up to prevent further problems. Believe me, I am so impressed with the results and feel confident that things will come right in the end. BUT, I am going to be super dooper careful from here on in. I hope you get some good news, or at least feel happy with what is diagnosed tonight. Let us know how you get on.
1	1	hmmm... 4:14:45 for me. how about a competition to see who gets a time closest to their race number? like 2:31:42 for number 23142?
3	1	We enjoyed supporting!!! Can't blooming speak now tho :-)
3	1	I noticed the St John's people around the route of course but didn't quite appreciate the scale of the turnout until I went into the tent at the end for some ice on my ankle. I didn't realise there were so many of them in the country let alone London! Well done and thanks.
1	1	Quite a few people mentioned that the chip times (as published on the website) are showing their time to be EXACTLY 3 seconds faster than the one from their own watch (this includes me). . Anybody got a expalanation/theory for this ?
