content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.	0	positive	2	0	0	3	0	5	-3.607	2.834	0	0.0	0	-0.7784951292233018	positive	0	0	1	-1	-3.4339999999999997	positive	0	0	3.239	0	0	3
Reading my kindle2...  Love it... Lee childs is good read.	1	positive	2	0	0	2	1	6	-2.491	3.1529999999999996	0	1.0766622442752123	2	0.0	positive	0	0	3	-1	-0.79	positive	0	0	2.9629999999999996	1	0	3
Ok, first assesment of the #kindle2 ...it fucking rocks!!!	0	positive	0	1	0	0	0	0	-0.898	3.3189999999999995	-4	0.08253860473632812	0	0.0	neutral	0	0	0	-1	-1.206	positive	0	0	3.2210000000000005	0	0	2
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)	0	negative	2	1	1	1	0	5	-5.13	5.097	-3	0.7417831402271986	1	-1.388671875	positive	1	1	1	-4	-4.62	positive	0	0	4.137	0	0	3
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)	0	positive	2	0	0	3	1	5	-2.018	1.078	0	0.2496337890625	1	-0.23137950897216797	positive	0	0	2	-1	-2.516	positive	0	0	2.604	1	0	2
@richardebaker no. it is too big. I'm quite happy with the Kindle2.	0	positive	1	0	1	1	1	4	-0.9079999999999999	2.1740000000000004	-1	0.7931747436523438	1	-0.2421875	positive	0	0	1	-1	-1.668	positive	0	0	1.6019999999999999	1	0	2
Fuck this economy. I hate aig and their non loan given asses.	0	negative	0	2	1	0	0	0	-7.361999999999999	0.02	-7	0.03125	0	-1.1875	negative	1	1	0	-4	-5.533999999999999	negative	1	1	0.413	1	1	1
Jquery is my new best friend.	0	positive	2	0	0	1	0	3	-0.058	1.979	0	0.2750244140625	1	0.0	positive	0	0	1	-1	-0.481	positive	0	0	2.146	1	0	2
Loves twitter	0	positive	0	0	0	1	0	0	-0.528	1.617	0	0.0	0	0.0	neutral	0	0	0	-1	0.0	positive	0	0	0.518	0	0	3
how can you not love Obama? he makes jokes about himself.	0	negative	1	0	0	1	0	5	-5.257	2.939	0	0.354248046875	1	-0.625	neutral	0	0	1	-2	-1.2679999999999998	positive	0	0	1.034	0	0	2
Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM	0	neutral	1	0	0	0	1	0	-1.459	4.106	0	0.0932533749146387	1	-0.002515852451324463	neutral	0	0	3	-1	-0.626	neutral	0	0	2.548	2	0	1
@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism	0	negative	3	1	1	0	0	2	-8.977000000000002	3.275	-3	0.4180908203125	0	-0.6747465133666992	neutral	0	1	1	-3	-3.936	negative	0	0	1.724	0	0	1
House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation	0	neutral	1	0	0	1	0	0	-1.117	3.6639999999999997	0	0.13473379611968994	0	-0.0654296875	neutral	1	1	2	-1	-1.379	positive	0	0	4.542999999999999	0	0	1
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!	0	positive	0	1	1	0	0	0	-2.3360000000000003	2.382	0	0.0758056640625	0	-0.0625	neutral	0	0	0	-1	-0.694	positive	0	0	1.712	0	0	2
dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x	0	negative	2	3	2	1	0	5	-5.637	1.666	-9	0.8277740478515625	1	-0.8576650619506836	neutral	0	3	2	-3	-3.499	negative	3	1	2.6100000000000003	0	0	3
#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2	0	positive	2	0	0	1	2	4	-6.2059999999999995	2.9959999999999996	0	0.5022621163952863	1	-1.0326805114746094	neutral	0	0	2	-1	-3.2299999999999995	positive	0	0	2.419	1	0	2
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.	0	negative	0	3	1	0	0	3	-7.315000000000001	2.06	-7	0.02633535861968994	0	-0.6788671612739563	negative	1	1	0	-4	-7.67	negative	0	0	2.221	0	1	1
i love lebron. http://bit.ly/PdHur	0	positive	1	0	0	1	0	3	-0.942	1.083	0	0.352294921875	1	-0.03125	positive	0	0	1	-1	-0.829	positive	0	0	1.034	0	0	3
@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.	0	positive	0	0	1	0	0	2	-1.7009999999999998	1.326	0	0.125	1	-0.3218364715576172	neutral	0	1	1	-1	-2.6580000000000004	negative	0	1	1.776	0	1	2
@Pmillzz lebron IS THE BOSS	0	neutral	0	0	0	0	0	0	-0.77	0.079	0	0.0	0	-0.048828125	neutral	0	0	0	-1	-0.585	positive	0	0	0.675	0	0	1
@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol	1	positive	2	0	0	2	1	11	-5.109999999999999	3.959	0	0.47802740150655154	2	-0.1015625	positive	0	0	2	-1	-2.925	positive	0	0	2.974	1	0	3
lebron and zydrunas are such an awesome duo	0	positive	1	0	0	1	0	4	-1.012	2.094	0	0.75	0	-0.203125	positive	0	0	0	-1	-0.411	positive	0	0	2.892	0	0	3
@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.	0	neutral	1	0	2	0	0	0	-2.592	1.006	0	0.07383868909892044	0	-0.25	neutral	0	1	0	-1	-2.6279999999999997	positive	0	1	1.481	0	1	1
downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.	0	positive	2	0	0	1	1	4	-1.9460000000000002	2.572	0	0.447998046875	1	-0.328125	positive	0	0	1	-1	-3.42	positive	0	0	1.5919999999999999	0	0	2
good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!	1	negative	3	3	2	2	1	3	-9.011	3.2569999999999997	-4	1.0400411505252123	1	-0.5096230534827555	positive	1	2	2	-4	-5.238000000000001	positive	2	0	2.927	1	1	3
http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)	0	positive	2	0	0	1	0	4	-0.23900000000000002	8.807	0	0.9224309902638197	0	0.0	positive	0	0	0	-1	-0.303	positive	0	0	2.09	0	0	3
In montreal for a long weekend of R&amp;R. Much needed.	0	neutral	0	0	1	0	1	0	-0.244	0.921	0	0.3984375	0	-0.0780029296875	neutral	0	0	0	-1	-0.5379999999999999	positive	0	0	2.922	0	0	1
Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv	0	positive	0	1	1	1	0	1	-2.739	7.957999999999999	-7	0.0322265625	0	-0.3651580810546875	neutral	1	2	1	-2	-2.409	positive	1	1	4.452000000000001	0	1	3
