content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	avgNeg	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	avgPos	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
?RT @justinbiebcr: The bigger the better....if you know what I mean ;)	0	neutral	0	0	0	0	0	0	-2.215	1.6639999999999997	0	2	0.3318367004394531	0	-0.03125	neutral	0	0	0	-1	-0.511	3	0	0	0.31999999999999995	0	0	1
Listening to the New Age station on @SlackerRadio ? http://slacker.com/r/nqKf	0	neutral	0	0	0	0	0	0	-0.5609999999999999	1.9259999999999997	0	1	0.2476806640625	0	0.0	positive	0	0	0	-1	-0.349	3	0	0	3.037	0	0	1
I favorited a YouTube video -- Drake and Josh - The Storm We will rock you http://youtu.be/v1Cib4kDPsI?a	0	positive	1	0	1	1	0	2	-0.919	6.250000000000001	0	1	0.01123046875	0	-0.6962890625	positive	0	1	1	-1	-0.9750000000000001	1	0	1	4.618	0	0	2
i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!	0	positive	2	0	1	2	0	5	-2.655	4.578	0	2	1.2076611667871475	1	-0.09375	positive	0	0	2	-1	-6.638	4	0	0	3.377	0	0	3
I wana see the vid Kyan	0	neutral	0	0	0	0	0	0	-1.034	0.7290000000000001	0	1	0.001526474952697754	0	-0.03125	neutral	0	0	0	-1	-1.4769999999999999	2	0	0	0.141	0	0	1
if my mom went on for the love of ray J or any reality show i'd bee pissed .	0	negative	1	0	0	1	0	3	-2.406	2.901	-4	3	0.6179237365722656	1	-0.34375	neutral	0	0	1	-3	-3.687	1	0	1	3.1979999999999995	1	1	3
Ok so I just got a deal for my own show For The Love Of Deez Nuts go to VH1/deezNuts to apply ....R u here for Deez Nuts???	1	positive	3	0	0	1	1	3	-6.385	3.132	-6	1	0.7873573880788172	2	-0.84375	neutral	0	0	2	-1	-3.627	1	0	0	2.3	2	0	3
@Mrhilton1985 Welcome to Twitter xx	0	positive	1	0	0	1	0	2	-0.62	3.1510000000000002	0	1	0.04296875	0	0.0	positive	0	0	0	-1	-0.165	3	0	0	1.845	0	0	2
@kjbmusic oh yeah... however  I'd still like to be in the midst of it all though... u know...	0	positive	1	0	0	1	0	3	-2.4290000000000003	1.9669999999999994	0	1	0.60491943359375	0	-0.07183647155761719	neutral	0	0	0	-1	-2.388	2	0	0	0.703	0	0	2
Can't say I like the new facebook layout. But just posted pics from my Super Bowl week. =)	0	positive	3	0	0	2	0	5	-2.61	3.133	0	2	0.43841552734375	0	-0.0390625	positive	0	0	0	-1	-1.6250000000000002	2	0	0	4.374	0	0	3
I need a nice tea-drinking pic for our #Tea Club Membership page - anyone got one they'd be happy for me to use? http://bit.ly/b1PWLh	0	positive	2	0	0	2	1	6	-4.1930000000000005	5.026999999999999	0	1	0.903167724609375	1	-0.177734375	positive	0	0	1	-1	-1.837	2	0	0	4.311000000000001	1	0	2
@JonathanRKnight so twitpic it lol  I love Home Depot  love working w/my hands and building things  my dad was in construction	0	positive	2	0	0	2	0	9	-1.355	4.008	0	1	0.72802734375	2	-0.03125	positive	0	0	4	-1	-3.345	3	0	0	5.527999999999999	0	0	3
@BarCough it's enough to make you sick  eh? there's nothing sacred anymore	0	neutral	1	1	1	1	0	0	-4.0	1.171	-2	3	0.7578125298468881	0	-0.13232421875	neutral	1	1	0	-1	-4.712	1	1	0	0.147	0	0	1
Hacienda is now level 80 time to get epic gear for her!!!! Oh and maybe some sleep would be good..	1	positive	2	0	0	1	2	3	-1.4040000000000001	4.023999999999999	0	2	1.0174009231704986	1	-0.0352778434753418	positive	0	0	4	-1	-1.776	3	0	0	4.83	2	0	2
DJ K-City presents Crank of America THE MIXTAPE. wanna be on it? DM me. http://twitpic.com/10tti2 PLS RT	0	neutral	0	0	0	0	0	0	-2.417	3.4250000000000003	0	1	0.0313720703125	0	-0.31787109375	neutral	0	1	0	-1	-1.1909999999999998	1	0	0	1.269	0	0	1
Iran  with its unity and God's grace  will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned 	3	negative	5	2	2	3	1	2	-3.949	4.711000000000001	-3	3	0.7648671874999999	1	-0.37503814697265625	neutral	2	4	3	-3	-3.852	1	0	1	4.436000000000001	2	3	3
@TiffyStarz wtf  where i come from noone likes metal and hardcore  like 5 of my mates max are fully into metal  it sucks  i love metalll :L	0	negative	2	1	0	3	0	7	-5.199999999999999	2.797	-7	3	1.1262884140014648	1	-0.0625	negative	0	0	2	-3	-6.24	4	0	0	2.8680000000000003	1	0	3
www.moneyhackers.org Reasons why entrepreneurs to venture in Nursing Agencies | Best ...: Reasons why entrepreneur... http://bit.ly/bvgzLs	0	positive	1	0	0	1	0	3	-3.37	5.962	0	1	0.13671875	0	-0.25390625	neutral	0	0	0	-1	-2.76	1	0	0	2.481	0	0	2
#4WordsOnObamasHand Don't Say The N-Word	0	neutral	0	0	0	0	0	0	-0.9450000000000001	0.44	0	2	0.00201416015625	0	-0.12496566772460938	neutral	0	0	0	-1	-0.061	1	0	0	0.141	0	0	1
City watchdog in chaos as chief executive Hector Sants resigns just months before general election	0	negative	1	1	2	0	0	0	-3.6279999999999992	1.206	-3	3	0.719482421875	0	-0.34765625	neutral	1	1	2	-2	-0.9750000000000001	1	0	1	1.209	2	1	1
RT @MangaUK: God it is a big news day today! By popular demand  Ah! My Goddess Season 2 will be released in 3 2-disc sets: May  Jul  Sep.	0	positive	2	0	0	1	1	5	-0.77	4.5360000000000005	-1	1	0.47786712646484375	1	-0.42626953125	positive	0	1	1	-1	-3.092	2	0	1	6.969	1	1	3
Wow my sis said she gona get a tramp stamp tat LOL I told her it's to late for that ha ha evil laugh	1	negative	1	2	3	1	0	12	-5.857	5.398	-3	2	0.18561172577028628	1	-0.7489013671875	neutral	3	3	1	-3	-2.977	2	2	1	1.9809999999999999	0	2	3
@russmarshalek Sold! Would love to be your crazyass big sis -- how could I say no?! Cannot believe I broke or minimally battered my toe --	0	positive	1	2	2	1	0	4	-4.319	6.159000000000001	-1	2	1.0069808959960938	1	-1.1875	negative	2	2	1	-1	-8.151	3	0	0	2.2209999999999996	0	2	2
@zzramesses yes; hope to release that feature next month	1	positive	2	0	0	0	1	3	-0.968	1.567	0	1	0.4955477714538574	1	-0.03125	positive	0	0	2	-1	-0.366	2	0	0	1.4489999999999998	1	0	3
Phil Collins- You Can't Hurry Love	0	positive	1	0	0	1	1	3	-1.004	3.33	0	1	0.352294921875	1	-0.0234375	neutral	0	0	1	-1	-0.278	1	0	0	1.9060000000000001	0	0	3
i need money! i need new car!!! jesus...somebody please buy my old car :DDD	1	positive	1	0	0	0	1	1	-4.838	4.109	0	3	0.4810791015625	1	-0.23046875	negative	0	0	1	-1	-4.157	2	0	1	2.064	1	0	2
In ny wif @DJWALLAH and the Heavy Hitter crew... shout to @freddyphh for looking real gay in the camera...lol...	1	negative	1	0	0	0	0	0	-1.097	2.4990000000000006	0	3	0.23899649269878864	0	-0.0859375	positive	0	0	1	-2	-1.623	2	0	1	2.608	2	0	1
RT @RockinGreenSoap: I Flip(in) Love @rockingreensoap! Follow them to win a free Flip Camera! RT Please! http://tinyurl.com/yffv2pg #clothdiapers	0	positive	3	0	0	3	0	9	-1.828	6.1080000000000005	0	1	0.622902974486351	1	-0.09486579895019531	neutral	0	0	1	-1	-1.045	3	0	0	2.444	0	0	3
@ShiedhaO well damn! Renee still aint playin  is she?! and neither is Jack!! @LikasParody	0	positive	1	1	1	1	0	0	-3.181	3.5339999999999994	-4	3	0.2495348472595215	0	-0.5405864715576172	negative	0	1	0	-1	-3.8280000000000003	1	1	1	2.438	0	0	2
@heydusti oh  geez  I'd have a lot more songs that way.	0	neutral	0	0	0	0	0	0	-1.614	1.221	0	2	9.765625E-4	0	-0.23382854461669922	neutral	0	0	0	-1	-1.567	1	0	0	0.84	0	0	1
@natuhtack I will have some apple chicken sausage delivered to you.	0	neutral	1	0	0	0	0	0	-0.9919999999999999	1.9249999999999998	0	1	0.29296875	0	-0.20257854461669922	positive	0	0	0	-1	-1.097	1	0	0	3.4	0	1	1
