content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg
RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?	2011-10-18 22:06:03	126418790706712576	noUser	apple	1	1	0	0	6	0	0	negative	0	-0.009765625	5	0.5640869140625	0	neutral	-1
@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site	2011-10-18 22:00:51	126417484017451009	noUser	apple	5	1	0	0	8	0	0	neutral	0	-0.40515708923339844	5	0.48657798767089844	2	neutral	-1
RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..	2011-10-18 22:00:04	126417285559762944	noUser	apple	1	2	1	3	6	1	-1	negative	1	-0.1484375	1	0.5	1	negative	-1
@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..	2011-10-18 21:58:36	126416915664084992	noUser	apple	1	2	1	3	6	1	-1	negative	1	-0.1484375	1	0.5	1	negative	-1
THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE	2011-10-18 21:55:23	126416109212680192	noUser	apple	2	1	0	0	1	1	-3	negative	1	-0.0854949951171875	1	0.00390625	1	negative	-1
RT @rdingwell: .@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf	2011-10-18 21:53:56	126415742177513472	noUser	apple	5	1	0	0	2	2	-6	neutral	0	-0.5703125	3	0.6878204345703125	1	neutral	-3
Hey @apple, androids releasing brand new state of the art phones, whens your new phone come out? What's that? (cont) http://t.co/2sko9l3d	2011-10-18 21:53:26	126415618625912832	noUser	apple	5	2	0	0	0	0	0	neutral	0	-0.3371009826660156	4	0.27667903900146484	0	neutral	-1
Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is	2011-10-18 21:53:25	126415614616154112	noUser	apple	3	1	0	0	1	0	0	positive	1	-0.22309450805187225	5	0.3927650460827863	0	negative	-1
.@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf	2011-10-18 21:49:37	126414657836687362	noUser	apple	5	1	0	0	2	2	-6	neutral	0	-0.5703125	3	0.6878204345703125	1	neutral	-3
@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5	2011-10-18 21:35:44	126411162622496768	noUser	apple	3	2	0	0	1	3	-4	negative	0	-0.484375	2	0.03198247963155154	2	negative	-2
