content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP	SNpos	SNneg	SNpleas	SNatten	SNsensi	SNapt
Gas by my house hit $3.39!!!! I\u2019m going to Chapel Hill on Sat. :)	0	positive	0	0	0	0	0	0	-1.058	2.6550000000000002	0	0.03125	0	-0.7734376639127731	neutral	0	1	0	-1	-2.497	positive	0	1	3.572	0	0	2	0.141	-0.028	-0.086	0.179	0.026	0.158
Theo Walcott is still shit\u002c watch Rafa and Johnny deal with him on Saturday.	1	negative	1	0	0	0	2	0	-2.33	1.046	0	0.3193359375	1	-0.04058647155761719	neutral	0	0	1	-2	-2.587	negative	0	0	2.915	1	1	1	0.803	-0.095	0.457	1.22	-0.566	0.964
its not that I\u2019m a GSP fan\u002c i just hate Nick Diaz. can\u2019t wait for february.	0	negative	1	1	1	0	1	0	-3.221	1.4040000000000001	-3	0.547607421875	0	-1.359375	neutral	1	2	0	-3	-4.271999999999999	negative	1	1	2.74	0	1	1	0.504	-0.954	-0.79	0.921	0.359	-0.18
Iranian general says Israel\u2019s Iron Dome can\u2019t deal with their missiles (keep talking like that and we may end up finding out)	1	positive	2	0	0	1	1	2	-5.867999999999999	1.7409999999999999	0	0.29638671875	1	-0.2875404357910156	neutral	0	0	3	-1	-1.7990000000000002	negative	0	0	1.9090000000000003	3	0	2	0.85	0	0.428	1.413	-0.686	1.47
Tehran\u002c Mon Amour: Obama Tried to Establish Ties with the Mullahs http://t.co/TZZzrrKa via @PJMedia_com No Barack Obama - Vote Mitt Romney	1	positive	1	0	0	0	2	0	-5.598	5.823000000000001	-1	1.062744140625	2	-0.1484375	neutral	1	1	2	-1	-2.14	neutral	0	1	4.558000000000001	3	0	2	0.305	0	0.055	0.462	-0.208	0.607
I sat through this whole movie just for Harry and Ron at christmas. ohlawd	0	neutral	1	0	0	0	0	0	-0.365	2.645	0	0.441162109375	0	-0.09375	neutral	1	1	0	-1	-1.4849999999999999	neutral	0	1	2.397	0	0	1	0.627	-0.06	0.055	0.932	-0.314	1.027
with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.	0	positive	2	0	0	2	2	5	-1.5510000000000002	4.963	0	1.492187529846888	1	-0.43646240234375	neutral	1	1	2	-2	-1.1880000000000002	positive	0	0	4.284	2	0	3	0.726	0	0.39	1.375	-0.6	1.014
Talking about ACT\u2019s && SAT\u2019s\u002c deciding where I want to go to college\u002c applying to colleges and everything about college stresses me out.	0	negative	1	1	0	0	0	1	-4.963	0.934	0	0.12963872963155154	0	-0.4100990295410156	neutral	0	0	0	-2	-5.1240000000000006	negative	0	0	0.9760000000000001	0	0	1	0.726	0	0.204	1.194	-0.664	1.441
Why is \Happy Valentines Day\ trending? It\u2019s on the 14th of February not 12th of June smh..	0	positive	0	0	0	0	0	0	-5.5809999999999995	3.5660000000000007	0	0.0947265625	0	-0.625	negative	0	0	0	-1	-3.732	neutral	0	0	3.8270000000000004	0	0	2	0.185	-0.029	-0.147	0.531	-0.2	0.467
They may have a SuperBowl in Dallas\u002c but Dallas ain\u2019t winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll	1	neutral	0	0	0	1	1	4	-3.496	2.095	0	0.21875	1	-0.8744535446166992	neutral	1	0	1	-1	-2.4170000000000003	negative	1	0	3.346	1	0	1	0.647	0	0.044	1.116	-0.549	1.33
Im bringing the monster load of candy tomorrow\u002c I just hope it doesn\u2019t get all squiched	1	positive	2	1	1	0	1	2	-1.8329999999999997	1.2269999999999999	0	0.6194496163952863	1	-0.3189697265625	neutral	0	1	1	-1	-2.1679999999999997	neutral	0	0	1.2489999999999999	1	1	2	1.004	0	0.23	0.978	-0.32	1.179
