content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
Gas by my house hit $3.39!!!! I\u2019m going to Chapel Hill on Sat. :)	0	positive	0	0	0	0	0	0	-1.058	2.6550000000000002	0	0.03125	0	-0.7734376639127731	neutral	0	1	0	-1	-2.497	positive	0	1	3.572	0	0	2
Theo Walcott is still shit\u002c watch Rafa and Johnny deal with him on Saturday.	1	negative	1	0	0	0	2	0	-2.33	1.046	0	0.3193359375	1	-0.04058647155761719	neutral	0	0	1	-2	-2.587	negative	0	0	2.915	1	1	1
its not that I\u2019m a GSP fan\u002c i just hate Nick Diaz. can\u2019t wait for february.	0	negative	1	1	1	0	1	0	-3.221	1.4040000000000001	-3	0.547607421875	0	-1.359375	neutral	1	2	0	-3	-4.271999999999999	negative	1	1	2.74	0	1	1
Iranian general says Israel\u2019s Iron Dome can\u2019t deal with their missiles (keep talking like that and we may end up finding out)	1	positive	2	0	0	1	1	2	-5.867999999999999	1.7409999999999999	0	0.29638671875	1	-0.2875404357910156	neutral	0	0	3	-1	-1.7990000000000002	negative	0	0	1.9090000000000003	3	0	2
Tehran\u002c Mon Amour: Obama Tried to Establish Ties with the Mullahs http://t.co/TZZzrrKa via @PJMedia_com No Barack Obama - Vote Mitt Romney	1	positive	1	0	0	0	2	0	-5.598	5.823000000000001	-1	1.062744140625	2	-0.1484375	neutral	1	1	2	-1	-2.14	neutral	0	1	4.558000000000001	3	0	2
I sat through this whole movie just for Harry and Ron at christmas. ohlawd	0	neutral	1	0	0	0	0	0	-0.365	2.645	0	0.441162109375	0	-0.09375	neutral	1	1	0	-1	-1.4849999999999999	neutral	0	1	2.397	0	0	1
with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.	0	positive	2	0	0	2	2	5	-1.5510000000000002	4.963	0	1.492187529846888	1	-0.43646240234375	neutral	1	1	2	-2	-1.1880000000000002	positive	0	0	4.284	2	0	3
Talking about ACT\u2019s && SAT\u2019s\u002c deciding where I want to go to college\u002c applying to colleges and everything about college stresses me out.	0	negative	1	1	0	0	0	1	-4.963	0.934	0	0.12963872963155154	0	-0.4100990295410156	neutral	0	0	0	-2	-5.1240000000000006	negative	0	0	0.9760000000000001	0	0	1
Why is \Happy Valentines Day\ trending? It\u2019s on the 14th of February not 12th of June smh..	0	positive	0	0	0	0	0	0	-5.5809999999999995	3.5660000000000007	0	0.0947265625	0	-0.625	negative	0	0	0	-1	-3.732	neutral	0	0	3.8270000000000004	0	0	2
They may have a SuperBowl in Dallas\u002c but Dallas ain\u2019t winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll	1	neutral	0	0	0	1	1	4	-3.496	2.095	0	0.21875	1	-0.8744535446166992	neutral	1	0	1	-1	-2.4170000000000003	negative	1	0	3.346	1	0	1
Im bringing the monster load of candy tomorrow\u002c I just hope it doesn\u2019t get all squiched	1	positive	2	1	1	0	1	2	-1.8329999999999997	1.2269999999999999	0	0.6194496163952863	1	-0.3189697265625	neutral	0	1	1	-1	-2.1679999999999997	neutral	0	0	1.2489999999999999	1	1	2
Apple software\u002c retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG	0	neutral	0	0	0	0	0	0	-3.6839999999999997	2.664	0	0.03125	0	-0.18597793579101562	neutral	0	0	0	-1	-2.27	neutral	0	0	4.871	0	0	1
@oluoch @victor_otti @kunjand I just watched it! Sridevi\u2019s comeback.... U remember her from the 90s?? Sun mornings on NTA ;)	1	positive	2	0	0	0	1	0	-3.269	2.3580000000000005	0	0.444091796875	1	-0.09375	positive	0	0	1	-1	-0.9770000000000001	positive	0	0	3.1820000000000004	1	0	2
One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol http://t.co/tqORFrXB	1	positive	2	0	0	2	1	6	-2.434	7.856999999999999	0	0.43798828125	2	0.0	positive	0	0	2	-1	-1.172	positive	0	0	3.9420000000000006	1	0	3
#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics	0	neutral	1	0	0	0	0	0	-1.1099999999999999	1.067	0	0.06323277944534311	0	-0.10154283166803424	neutral	0	0	1	-1	-3.5530000000000004	neutral	0	0	5.958	1	0	1
@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked	1	positive	4	0	1	1	0	4	-4.868000000000001	5.458	-2	0.5425176620483398	0	-1.0219144821166992	neutral	1	2	0	-1	-4.007	positive	1	1	4.786	0	1	3
@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys	0	positive	1	1	1	1	1	3	-3.119	2.989	-2	0.4468874931335449	2	-0.243896484375	positive	1	0	2	-1	-2.262	neutral	0	0	2.711	2	0	2
#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran\u002c Oct 30\u002c IRNA -- Secretary... http://t.co/9wWvxEbf	0	negative	0	0	0	0	0	0	-4.196999999999999	3.096	0	3.714376362040639E-9	0	-0.125	neutral	0	0	0	-3	-4.442	neutral	0	0	2.482	0	0	1
@JackStirling serge is amazing... like hes actually a god the lanky sex god... i saw kasabian and noel together in august. it was amazing.	0	positive	3	1	1	3	3	12	-1.648	7.739	0	1.73291015625	3	-0.09375	positive	0	0	4	-1	-1.092	positive	0	0	11.749	3	2	3
@HatersgonnHate_ @HAMlikeHussain @Ramythe3lite Larry Bird is ranked 4th all-time not including Lebron or Kobe just sayin...	0	negative	1	0	0	0	0	0	-4.413	2.574	0	0.422607421875	0	-0.63671875	neutral	0	0	1	-4	-1.586	neutral	0	0	0.484	0	0	1
Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116	1	positive	2	0	0	2	1	7	-0.886	3.8649999999999998	0	0.7084981817752123	1	-0.2734375	positive	0	0	1	-1	-0.44700000000000006	positive	0	0	4.958	1	0	4
Expect light-moderate rains over E. Visayas; Cebu\u002c Bohol\u002c Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)	3	positive	1	0	0	1	3	4	-1.995	2.2729999999999997	0	0.3349609375	0	-0.512629508972168	neutral	0	0	3	-1	-3.103	neutral	0	0	5.894	2	0	2
One ticket left for the @49ers game tomorrow!  Don\u2019t miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!	0	negative	0	1	4	0	1	0	-3.727	2.8399999999999994	-2	0.06396484375	0	-0.5175172537565231	neutral	0	1	0	-2	-4.553999999999999	positive	0	1	3.704	0	0	2
AFC away fans on Saturday. All this stuff about the \u2019she said no\u2019 chant. It\u2019s bollocks. When he has the ball\u002c just turn your back on him.	1	neutral	2	0	0	1	1	0	-4.721	2.5580000000000003	0	0.8309476655122126	1	-0.00146484375	neutral	0	0	1	-1	-3.8209999999999997	negative	0	1	2.234	0	0	1
My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho	0	negative	0	0	1	0	1	0	-1.259	1.5270000000000001	-1	0.0	0	-0.08937835693359375	neutral	0	0	1	-4	-3.497	negative	0	0	6.253000000000001	1	0	1
Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...	0	neutral	1	2	1	0	1	0	-6.709999999999999	1.74	-1	0.06155422329175053	0	-0.655295193195343	negative	0	0	0	-1	-5.976999999999999	negative	0	0	3.019	1	0	1
Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF\u2019s gonna be cuuuuhraaaaaaaazeeeee	0	positive	0	0	2	0	1	0	-1.4170000000000003	1.278	0	1.220703125E-4	0	-0.31365966796875	neutral	0	0	0	-1	-0.41300000000000003	neutral	0	0	3.3320000000000003	0	0	2
James hall LIVE in Indianapolis Dec.8th.. CHRIST CHURCH APOSTOLIC!\u2019 Tixs just $10/adv. $15@door BE THERE..	0	positive	2	0	0	0	1	0	-1.775	2.072	0	0.20622873306274414	1	-0.125	neutral	0	0	1	-1	-1.367	neutral	0	0	4.354	2	0	2
@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play	0	neutral	0	0	1	0	0	0	-3.623	1.1470000000000002	0	0.5031137465855409	0	-0.078704833984375	neutral	0	0	0	-1	-2.2840000000000003	neutral	0	0	1.355	0	0	1
Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U\u002c ACT NOW! #getafterit	0	positive	1	0	0	0	1	1	-3.067	2.764	0	0.2855224609375	0	-0.8789026737213135	neutral	0	0	1	-1	-2.285	positive	0	0	2.7830000000000004	0	0	2
@TheFFAddict I had Vick and Flacco\u002c needed an upgrade.  Vick may get benched\u002c Jennings a back up again soon. I thought it was a win for me.	0	neutral	2	0	0	1	1	4	-7.311	1.499	0	0.7877845754701411	0	-0.5625	negative	0	0	0	-1	-4.393	positive	0	0	2.153	0	0	1
@lisahochstein KEY LARGO\u002c FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur\u2019s!!	0	positive	1	0	0	1	1	0	-1.119	6.924	0	0.17261123657226562	0	-0.18896484375	positive	0	0	1	-1	-1.5390000000000001	positive	0	0	5.495000000000001	1	0	2
Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC	0	positive	2	0	2	2	1	6	-1.2950000000000002	2.278	0	0.45361328125	1	-0.8016996383666992	neutral	0	0	1	-1	-1.143	positive	0	0	0.935	0	0	2
