content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
Friday Night Lights with Mitt! http://t.co/lTZHpTzg #tcot #tlot #bcot #ccot #gop #nra #ocra #sgp #teaparty #twisters #breitbart #Israel	0	positive	0	0	0	0	0	0	-7.279	1.664	0	0.25	0	-0.0029296875	neutral	0	0	0	-1	-0.381	neutral	0	0	1.987	0	0	2
leaving for Germany tomorrow : I keep repeating it to myself \u002c somebody pinch me  !	0	positive	0	1	1	0	1	0	-3.207	2.3	0	0	0	-0.2966308594	negative	0	0	0	-1	-2.783	positive	0	0	2.187	0	0	2
Nick Diaz may be suspended\u002c but his manager is trying to set up his next fight\u002c saying a match with Josh Koscheck... http://t.co/HOVcUE22	0	negative	0	0	1	0	0	0	-2.832	1.603	-1	0.6321430206	0	-1.0702819647	neutral	0	0	0	-3	-4.162	neutral	0	0	3.767	0	0	1
Bale doesnt celebrate his goal but races over cuddling Dempsey on the 2nd. Illustrates perfectly the bullshitting spotlight whores they are.	0	negative	2	1	0	2	0	6	-4.229	5.395	0	0.521484375	0	-0.25	neutral	0	1	0	-3	-2.601	negative	0	0	4.969	0	1	2
PRESEASON! BASKETBALL! #kubball MT @DarnellMayberry Cole Aldrich will start in place of Kendrick Perkins against the Rockets tomorrow night.	0	positive	1	0	1	0	3	0	-1.769	3.017	0	0.0040864942	1	-0.5966761112	positive	0	0	1	-1	-1.072	positive	0	0	4.412	0	0	2
Sunday is turning out to be the day when i play Temple Run. Social life is a joke only. Forever alone lvl 100000000.	0	positive	1	1	0	0	0	2	-4.637	1.723	-2	0.50573574	0	-0.1098060608	neutral	0	1	0	-1	-3.312	negative	0	0	2.562	0	0	2
@MrDDyer Mate\u002c how are you lads enjoying Andy Carroll over there? Can we have him back in January? We\u2019re a bit desperate!	0	negative	1	1	1	1	1	2	-5.613	4.733	-3	0.1782226544	1	-0.5092191696	positive	0	1	1	-4	-1.784	neutral	0	0	2.648	1	0	3
@Webwych QEII in Woolwich. Only 20 mins from home. :) my sister Becky is going to come and stay sat-mon I think.	0	neutral	0	0	0	0	0	0	-2.19	0.326	0	0.0185003281	0	-0.2265625	neutral	0	0	0	-1	-2.865	neutral	0	0	1.972	0	0	1
Our @YepRoc 15 celebration continues with this long interview with Jim White\u002c who plays Sat. at Cats Cradle for YR15. http://t.co/bZOV4oBV	1	positive	1	0	1	1	3	0	-1.66	4.015	0	0.0078125	2	-0.0467529297	neutral	0	0	2	-1	-1.181	neutral	0	0	3.995	2	0	2
Saturday\u2019s UFC on Fuel TV looks a lot better than the scheduled undercard of UFC 151. No surprise 151 got cancelled. http://t.co/Qve8SjEU	1	neutral	1	0	0	1	0	2	-3.654	1.798	-2	0.7185974121	1	-0.609375	negative	0	0	1	-1	-4.176	positive	0	0	3.022	0	1	1
