content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.	0	1	2	0	0	3	0	5	-3.607	2.834	0	0.0	0	-0.7784951292233018	positive	0	0	1	-1	-3.4339999999999997	positive	0	0	3.239	0	0	3
Reading my kindle2...  Love it... Lee childs is good read.	1	1	2	0	0	2	1	6	-2.491	3.1529999999999996	0	1.0766622442752123	2	0.0	positive	0	0	3	-1	-0.79	positive	0	0	2.9629999999999996	1	0	3
Ok, first assesment of the #kindle2 ...it fucking rocks!!!	0	1	0	1	0	0	0	0	-0.898	3.3189999999999995	-4	0.08253860473632812	0	0.0	neutral	0	0	0	-1	-1.206	positive	0	0	3.2210000000000005	0	0	2
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)	0	-1	2	1	1	1	0	5	-5.13	5.097	-3	0.7417831402271986	1	-1.388671875	positive	1	1	1	-4	-4.62	positive	0	0	4.137	0	0	3
@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)	0	1	2	0	0	3	1	5	-2.018	1.078	0	0.2496337890625	1	-0.23137950897216797	positive	0	0	2	-1	-2.516	positive	0	0	2.604	1	0	2
@richardebaker no. it is too big. I'm quite happy with the Kindle2.	0	1	1	0	1	1	1	4	-0.9079999999999999	2.1740000000000004	-1	0.7931747436523438	1	-0.2421875	positive	0	0	1	-1	-1.668	positive	0	0	1.6019999999999999	1	0	2
Fuck this economy. I hate aig and their non loan given asses.	0	-1	0	2	1	0	0	0	-7.361999999999999	0.02	-7	0.03125	0	-1.1875	negative	1	1	0	-4	-5.533999999999999	negative	1	1	0.413	1	1	1
Jquery is my new best friend.	0	1	2	0	0	1	0	3	-0.058	1.979	0	0.2750244140625	1	0.0	positive	0	0	1	-1	-0.481	positive	0	0	2.146	1	0	2
Loves twitter	0	1	0	0	0	1	0	0	-0.528	1.617	0	0.0	0	0.0	neutral	0	0	0	-1	0.0	positive	0	0	0.518	0	0	3
how can you not love Obama? he makes jokes about himself.	0	-1	1	0	0	1	0	5	-5.257	2.939	0	0.354248046875	1	-0.625	neutral	0	0	1	-2	-1.2679999999999998	positive	0	0	1.034	0	0	2
